spot,recommend,rank,satellite
都江堰景区,11462,4.7,成都市都江堰市公园路
锦里古街,12771,4.4,成都市武侯区武侯祠大街231号
宽窄巷子,10069,4.4,成都市青羊区金河路口宽窄巷子
成都动物园,1849,4.6,成都市成华区昭觉寺南路234号(驷马桥)
青城山,5636,4.6,成都市都江堰市西南部青城山风景区
成都大熊猫繁育研究基地,12008,4.6,成都市成华区外北熊猫大道1375号
文殊院,837,4.5,成都市青羊区文殊院街66号
西岭雪山,5184,4.7,成都市大邑县西岭镇西岭雪山风景区
国色天乡水上乐园,1110,4.6,成都市温江区万春镇国色天乡二期水上世界
武侯祠,9108,4.5,成都市武侯区武侯祠大街231号
紫颐香薰山谷,520,4.1,成都市双流县太平镇
金沙遗址博物馆,4454,4.7,成都市青羊区金沙遗址路2号成都金沙遗址博物馆
杜甫草堂,6238,4.5,成都市青羊区青华路37号
春熙路,1440,4.4,成都市锦江区
成都欢乐谷,4043,4.6,成都市金牛区西华大道16号
人民公园,474,4.4,成都市青羊区少城路12号
青城后山,700,4.5,成都市都江堰市驿道街66号
国色天乡陆地乐园,1375,4.6,成都市温江区万春镇天乡路二段88号
黄龙溪,780,4.4,成都市双流区黄龙溪镇
青羊宫,625,4.3,成都市青羊区一环路西二段九号
天堂岛海洋乐园,1514,4.6,成都市武侯区天府大道北段1700号环球中心东区负1层
四川博物院,408,4.5,成都市青羊区浣花南路251号
花舞人间,1838,4.5,成都市新津县永商镇梨花大道一段555号
童话森林乐园,303,4.5,成都市天府新区三星镇井石村
成都海昌极地海洋公园,3889,4.5,成都市双流区天府大道南沿线南端2039号
安仁古镇,293,4.4,成都市大邑县迎宾路
刘氏庄园博物馆,1022,4.6,成都市大邑县安仁镇金桂街15号
洛带古镇,408,4.2,成都市龙泉驿区洛带镇
建川博物馆聚落,782,4.7,成都市大邑县安仁镇迎宾路二段550建川博物馆
中国泰迪熊博物馆,771,4.3,成都市温江区金马国际体育城
天府广场,348,4.5,成都市青羊区人民南路一段
天台山,472,4.3,成都市邛崃市新城汇泉西街1号
新场古镇,72,4.5,成都市大邑县新场古镇
四川大学,247,4.6,成都市武侯区一环路南一段24号
平乐古镇,287,4.2,成都市邛崃市禹王街70号
大慈寺,263,4.4,成都市锦江区大慈寺路23号
石象湖,1693,4.6,成都市蒲江县成雅高速公路86公里出口处
蜀风雅韵川剧院,1935,4.8,成都市青羊区琴台路132号市文化公园门口蜀风雅韵民俗茶馆
南桥,624,4.5,成都市都江堰市花园路都江堰景区大门外侧
国色天乡童话世界,1157,4.4,成都市温江区万春镇88号国色天乡乐园
昭觉寺,212,4.4,成都市成华区昭青路333号
二王庙,228,4.4,成都市都江堰市都江堰景区内，岷江东岸
望江楼公园,353,4.5,成都市武侯区望江路300号九眼桥锦江南岸
街子古镇,301,4.4,成都市崇州市惠丰路1号
安澜索桥,248,4.5,成都市都江堰市都江堰景区内
宝光寺,258,4.5,成都市新都区宝光大道中段80号宝光寺
离堆公园,203,4.4,成都市都江堰市公园路青城山，都江堰风景名胜区内
东郊记忆,210,4.5,成都市成华区建设南支路4号东郊记忆
浣花溪公园,315,4.7,成都市青羊区青华路9号(近杜甫草堂)
上清宫,158,4.4,成都市都江堰市青城山景区内
玉垒山公园,110,4.3,成都市都江堰市都江堰景区内
三圣花乡旅游区,198,4.3,成都市锦江区幸福梅林景区
南湖梦幻岛,1342,4.6,成都市双流县南延线南湖度假风景区
