spot,rank,satellite
都江堰景区,4.7,"
成都市都江堰市公园路                        "
锦里古街,4.4,"
成都市武侯区武侯祠大街231号                        "
宽窄巷子,4.4,"
成都市青羊区金河路口宽窄巷子                        "
成都动物园,4.6,"
成都市成华区昭觉寺南路234号(驷马桥)                        "
青城山,4.6,"
成都市都江堰市西南部青城山风景区                        "
成都大熊猫繁育研究基地,4.6,"
成都市成华区外北熊猫大道1375号                        "
文殊院,4.5,"
成都市青羊区文殊院街66号                        "
西岭雪山,4.7,"
成都市大邑县西岭镇西岭雪山风景区                        "
国色天乡水上乐园,4.6,"
成都市温江区万春镇国色天乡二期水上世界                        "
武侯祠,4.5,"
成都市武侯区武侯祠大街231号                        "
紫颐香薰山谷,4.2,"
成都市双流县太平镇                        "
金沙遗址博物馆,4.7,"
成都市青羊区金沙遗址路2号成都金沙遗址博物馆                        "
杜甫草堂,4.5,"
成都市青羊区青华路37号                        "
春熙路,4.4,"
成都市锦江区                        "
成都欢乐谷,4.6,"
成都市金牛区西华大道16号                        "
人民公园,4.5,"
成都市青羊区少城路12号                        "
青城后山,4.5,"
成都市都江堰市驿道街66号                        "
国色天乡陆地乐园,4.6,"
成都市温江区万春镇天乡路二段88号                        "
黄龙溪,4.4,"
成都市双流区黄龙溪镇                        "
青羊宫,4.3,"
成都市青羊区一环路西二段九号                        "
天堂岛海洋乐园,4.6,"
成都市武侯区天府大道北段1700号环球中心东区负1层                        "
四川博物院,4.6,"
成都市青羊区浣花南路251号                        "
花舞人间,4.5,"
成都市新津县永商镇梨花大道一段555号                        "
童话森林乐园,4.5,"
成都市天府新区三星镇井石村                        "
成都海昌极地海洋公园,4.5,"
成都市双流区天府大道南沿线南端2039号                        "
安仁古镇,4.4,"
成都市大邑县迎宾路                        "
刘氏庄园博物馆,4.6,"
成都市大邑县安仁镇金桂街15号                        "
洛带古镇,4.2,"
成都市龙泉驿区洛带镇                        "
建川博物馆聚落,4.7,"
成都市大邑县安仁镇迎宾路二段550建川博物馆                        "
中国泰迪熊博物馆,4.3,"
成都市温江区金马国际体育城                        "
天府广场,4.5,"
成都市青羊区人民南路一段                        "
天台山,4.3,"
成都市邛崃市新城汇泉西街1号                        "
新场古镇,4.5,"
成都市大邑县新场古镇                        "
四川大学,4.6,"
成都市武侯区一环路南一段24号                        "
平乐古镇,4.2,"
成都市邛崃市禹王街70号                        "
大慈寺,4.4,"
成都市锦江区大慈寺路23号                        "
南桥,4.5,"
成都市都江堰市花园路都江堰景区大门外侧                        "
国色天乡童话世界,4.4,"
成都市温江区万春镇88号国色天乡乐园                        "
蜀风雅韵川剧院,4.8,"
成都市青羊区琴台路132号市文化公园门口蜀风雅韵民俗茶馆                        "
二王庙,4.4,"
成都市都江堰市都江堰景区内，岷江东岸                        "
昭觉寺,4.4,"
成都市成华区昭青路333号                        "
望江楼公园,4.5,"
成都市武侯区望江路300号九眼桥锦江南岸                        "
安澜索桥,4.5,"
成都市都江堰市都江堰景区内                        "
石象湖,4.6,"
成都市蒲江县成雅高速公路86公里出口处                        "
街子古镇,4.4,"
成都市崇州市惠丰路1号                        "
离堆公园,4.4,"
成都市都江堰市公园路青城山，都江堰风景名胜区内                        "
宝光寺,4.5,"
成都市新都区宝光大道中段80号宝光寺                        "
浣花溪公园,4.7,"
成都市青羊区青华路9号                        "
东郊记忆,4.5,"
成都市成华区建设南支路4号东郊记忆                        "
上清宫,4.4,"
成都市都江堰市青城山景区内                        "
玉垒山公园,4.3,"
成都市都江堰市都江堰景区内                        "
南湖梦幻岛,4.6,"
成都市双流县华阳镇南湖大道428号                        "
三圣花乡旅游区,4.3,"
成都市锦江区幸福梅林景区                        "
成都新世纪环球中心,4.6,"
成都市武侯区天府大道北段1700号                        "
百花潭公园,4.5,"
成都市青羊区一环路西二段175号（芳邻路）                        "
花水湾温泉度假区,4.4,"
成都市大邑县花水湾温泉区                        "
天师洞,4.4,"
成都市都江堰市青城山景区内                        "
九眼桥,4.7,"
成都市武侯区望江路上                        "
建福宫,4.3,"
成都市都江堰市青城山前山景区丈人峰下                        "
宝光桂湖文化区,4.4,"
成都市新都区桂湖中路109号                        "
泰安古镇,4.0,"
成都市都江堰市青城后山泰安古镇中段驿道街232号                        "
虹口自然保护区,4.4,"
成都市都江堰市虹口乡境内                        "
成都川菜博物馆,4.4,"
成都市郫都区古城镇荣华北巷8号                        "
井巷子,4.4,"
成都市青羊区宽窄巷子特色商业街                        "
都江堰鱼嘴分水堤,4.7,"
成都市都江堰市都江堰景区内                        "
合江亭,4.4,"
成都市锦江区府南河畔                        "
塔子山公园,4.3,"
成都市锦江区迎晖路222号                        "
国际非物质文化遗产博览园,4.3,"
成都市青羊区光华大道二段601号（近光耀路）                        "
宝瓶口,4.6,"
成都市都江堰市都江堰风景区内                        "
花水湾第一村温泉大酒店,4.3,"
成都市大邑县花水湾镇温泉南街138号（进景区的右侧）                        "
怀远古镇,4.6,"
成都市崇州市怀远镇                        "
飞沙堰,4.7,"
成都市都江堰市公园路青城山·都江堰风景名胜区内                        "
赵公山,4.0,"
成都市都江堰市玉堂镇境内                        "
日月坪,4.7,"
成都市大邑县西岭雪山景区内                        "
漫花庄园,4.5,"
成都市新都区蜀龙大道南段银杏园路口                        "
四川大学博物馆,4.4,"
成都市一环路南一段24号四川大学内                        "
龙池国家森林公园,4.3,"
成都市都江堰市龙溪乡境内                        "
四川省川剧院,4.4,"
成都市锦江区红照壁街27号                        "
成都蜀锦织绣博物馆,4.5,"
成都市青羊区草堂东路2号                        "
金龙长城,4.2,"
成都市龙泉驿区金龙镇                        "
百工堰公园,4.3,"
成都市龙泉驿区公园路二段186号                        "
刘湘之墓,4.3,"
成都市武侯区武侯祠大街231号武侯祠内                        "
兰桂坊成都,4.7,"
成都市锦江区水津街1号                        "
秦堰楼,4.6,"
成都市都江堰市都江堰景区内                        "
